JobTitle,Company,Location,PostDate,ExtractDate,Summary,JobUrl
Growth Analyst,bambora,Stockholm,17 dagar sedan,2020-09-21,You are data driven - and turn that data in to insights and true value in our future growth. We are a data driven growth-oriented business looking for a Growth…,,https://se.indeed.com/rc/clk?jk=877ae45b9f084438&fccid=76ca0c3d632de293&vjs=3
"IT Business Analyst, Consumer Websites",Electrolux,Stockholm,7 dagar sedan,2020-09-21,"You use data to inform your decision making and strategic thinking, with a keen eye on details. IT Business Analyst, Consumer Websites.",,https://se.indeed.com/rc/clk?jk=b88afcac4d79b575&fccid=3a6b309410a33a62&vjs=3
Web Analyst / CRO Specialist,IDEAL OF SWEDEN,Stockholm,6 dagar sedan,2020-09-21,A passion for and the ability to make complex data-driven insights into simple actions. We are looking for a technical Web Analyst who is driven by…,,https://se.indeed.com/rc/clk?jk=1079259c4def6849&fccid=6445393570684f7f&vjs=3
IT Security analyst,bambora,Stockholm,5 dagar sedan,2020-09-21,Your main responsibility is to maintain the security and integrity of data stored or processed within the Ingenico Group and Bambora Acquiring Services…,,https://se.indeed.com/rc/clk?jk=45d5ad856c5b1ed0&fccid=76ca0c3d632de293&vjs=3
Billing Analyst (Swedish Speaking),Cubane Solutions AB,Stockholm,Mer än 30 dagar sedan,2020-09-21,Looking for Billing Analyst who can join immediately. Education: Economics background is considered advantageous. Experience working in multiple systems.,,https://se.indeed.com/rc/clk?jk=40c04babe7e028cf&fccid=a00e0f48d2d490c3&vjs=3
Business Intelligence Analyst,Voi Technology,Stockholm,Mer än 30 dagar sedan,2020-09-21,"We don't care if you call yourself a Data Scientist, Business Intelligence Developer or Data Engineer, most important for us is that you work with data, that…",,https://se.indeed.com/rc/clk?jk=d8d9d2c2bbab4d35&fccid=639bee6393c60c73&vjs=3
IT Business Analyst – Consumer Service,Electrolux,Stockholm,7 dagar sedan,2020-09-21,Experience of leveraging power of data and reporting for data driven decision process in different business areas. IT Business Analyst – Consumer Service.,,https://se.indeed.com/rc/clk?jk=9c9861cc531de449&fccid=3a6b309410a33a62&vjs=3
AML Analyst,Citi,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Interprets data and makes recommendations. Applies specialty area knowledge in monitoring, assessing, analyzing and/or evaluating processes and data.",,https://se.indeed.com/rc/clk?jk=2914e73c8bbf14b5&fccid=5bcd1ef0a7f4fb99&vjs=3
Senior Data Analyst som älskar att göra data begriplig...,Prisjakt,Malmö,23 dagar sedan,2020-09-21,"Vi på Prisjakt äger historisk data (> 15 år) om miljontals produkter, priser från tiotusentals butiker och data från användningen av flera plattformar (att säga…",,https://se.indeed.com/rc/clk?jk=9b0d7c3bdc4db178&fccid=76245a16af328db8&vjs=3
IT Business Analyst,Cytiva,Uppsala,Mer än 30 dagar sedan,2020-09-21,Experience in driving decisions based on robust data analytics. Help us improve access to life - changing therapies that can transform human health.,,https://se.indeed.com/rc/clk?jk=8a6397e915842ff4&fccid=c46411dafcae5d08&vjs=3
"Analytiker/ Business Analyst, Sortiment & Inköp, Apotek Hjärtat",ICA Gruppen AB,Solna,12 dagar sedan,2020-09-21,"Du har lätt för att inspirera andra i det du brinner för allra mest – data och dess affärsvärde. Analytiker/ Business Analyst, Sortiment & Inköp, Apotek Hjärtat…",,https://se.indeed.com/rc/clk?jk=13b28dd5ea0e2435&fccid=d64c292ff540899b&vjs=3
Business Analyst with Finnish focus,Anyfin,Stockholm,Mer än 30 dagar sedan,2020-09-21,"As a business analyst you will be. Make recommendations, create business value and drive strategy based on insights from data and deep customer understanding.",,https://se.indeed.com/rc/clk?jk=9afea4b32f1ccf76&fccid=baea990ef52d6306&vjs=3
